vendor_sku,vendor_name,category,subcategory,size,origin_country,origin_region,certifications,roast_level,flavor_notes,wholesale_price_estimate_usd,vendor_url,confidence_level,notes
TCR-FT-COLOMBIA-12OZ,Temecula Coffee Roasters,coffee,single-origin,12oz,Colombia,Tolima,Fairtrade,Medium,"caramel sweetness, citrus brightness, milk chocolate finish",9.75,https://temeculacoffeeroasters.com/collections/fairtrade%C2%AE-products,verified,"Listed at $19.49 retail 8oz on collection page; 12oz price confirmed at $24.49 on Sumatra reference. Wholesale est. ~50% retail per Faire wholesale norms. Fairtrade ONLY — Organic cert NOT visible on product page."
TCR-FT-GUATEMALA-12OZ,Temecula Coffee Roasters,coffee,single-origin,12oz,Guatemala,San Marcos,Fairtrade,Medium,"clean cup, milk chocolate, soft fruit, balanced acidity",9.75,https://temeculacoffeeroasters.com/collections/fairtrade%C2%AE-products,verified,"Same wholesale band as other Fairtrade SKUs. Organic cert NOT visible — flag for owner if dual-cert is hard requirement."
TCR-FT-HONDURAS-12OZ,Temecula Coffee Roasters,coffee,single-origin,12oz,Honduras,Copan,Fairtrade,Medium/Dark,"cocoa, brown sugar, walnut, smooth body",9.85,https://temeculacoffeeroasters.com/collections/fairtrade%C2%AE-products,verified,"Slightly higher wholesale than the medium roasts ($19.49 to $98.45 retail span). Dark-roast band complement to Sumatra."
TCR-FT-PERU-12OZ,Temecula Coffee Roasters,coffee,single-origin,12oz,Peru,Amazonas,Fairtrade,Medium,"lemon, herbal, milk chocolate, medium acidity, smooth body",9.75,https://temeculacoffeeroasters.com/collections/fairtrade%C2%AE-products,verified,"Origin: 1600-1800m altitude. Varieties: Typica/Castillo/Bourbon/Catimor. Lab-tested glyphosate-free per vendor Clean Coffee Project page."
TCR-FT-PERU-DECAF-12OZ,Temecula Coffee Roasters,coffee,single-origin-decaf,12oz,Peru,Amazonas,Fairtrade,Medium,"smooth body, mild chocolate, low acidity (Swiss Water Process)",10.45,https://temeculacoffeeroasters.com/collections/fairtrade%C2%AE-products,verified,"Swiss Water Process decaf — chemical-free decaffeination. Higher wholesale due to processing. Fits Coastal 'nothing chemically, ever' brand promise."
TCR-FT-SUMATRA-12OZ,Temecula Coffee Roasters,coffee,single-origin,12oz,Indonesia,"Aceh, Takengon",Fairtrade,Medium/Dark,"dark chocolate, dried fruit, earthy, syrupy body, lingering finish",10.45,https://temeculacoffeeroasters.com/products/fairtrade%C2%AE-sumatra-medium-dark-roast-organic,verified,"Anchor SKU. Grower: KBQB cooperative. 1100-1600m altitude, Giling Basha wet-hull, Grade 1 Triple Pick. URL slug includes 'organic' but product page certs show Fairtrade only — owner should verify if Organic cert applies. Best alignment to existing 'Sumatra' Coastal pitch in voice-library."
TCR-CCP-CLEAN-LOT,Temecula Coffee Roasters,coffee,blend,12oz,Multi-origin,Various,Clean-Lab-Tested,Medium,"glyphosate-free, heavy-metal-tested, mycotoxin-tested",10.50,https://temeculacoffeeroasters.com/products/clean-coffee-project,inferred,"Not Organic+Fairtrade certified per se but lab-attested clean — could anchor a 'Coastal Clean' tier. Pricing inferred from category band."
TCR-MATCHA-CEREMONIAL-30G,Temecula Coffee Roasters,matcha,ceremonial,30g (~1oz),Japan,"Kakegawa City, Shizuoka",NONE_VERIFIED,N/A,"smooth, creamy body, buttery umami, gentle natural sweetness",12.50,https://temeculacoffeeroasters.com/products/matcha-ceremonial-matcha,placeholder,"Retail $24.99. Sourced from Matsushita Tea Garden — Saemidori + Tsuyuhikari cultivars, stone-milled. NO organic/fairtrade cert visible on product page. RECOMMEND owner request cert documentation OR substitute Mizuba Yorokobi (organic-certified)."
TCR-TEA-EARLGREY-3OZ,Temecula Coffee Roasters,tea,black,3oz,Sri Lanka,Ceylon,NONE_VERIFIED,N/A,"Ceylon black + bergamot oil + blue cornflowers",8.00,https://temeculacoffeeroasters.com/pages/tea-dropship,placeholder,"Retail $19.99. Org/FT cert NOT visible at product level. RECOMMEND substitution or audit."
TCR-TEA-ENGLISHBREAKFAST-3OZ,Temecula Coffee Roasters,tea,black,3oz,Multi-origin,Assam/Ceylon blend,NONE_VERIFIED,N/A,"strong, malty, classic breakfast",8.00,https://temeculacoffeeroasters.com/pages/tea-dropship,placeholder,"Retail $19.99. Org/FT cert NOT visible at product level."
TCR-TEA-JASMINE-3OZ,Temecula Coffee Roasters,tea,green,3oz,China,Fujian (assumed),NONE_VERIFIED,N/A,"hand-paired jasmine blossoms + green tea, medium body, sweet/silky",8.00,https://temeculacoffeeroasters.com/pages/tea-dropship,placeholder,"Retail $19.99. Org/FT cert NOT visible."
TCR-TEA-MASALACHAI-3OZ,Temecula Coffee Roasters,tea,chai,3oz,India,Assam,Organic_partial_ingredients,N/A,"organic Assam black + organic cardamom/clove/ginger/cinnamon/star anise/black pepper",8.00,https://temeculacoffeeroasters.com/pages/tea-dropship,inferred,"Retail $19.99. Organic INGREDIENTS confirmed in product description — but no overall product cert shown. Closest Temecula tea to Coastal's standard."
TCR-TEA-HOJICHA-3OZ,Temecula Coffee Roasters,tea,roasted-green,3oz,Japan,Unknown,NONE_VERIFIED,N/A,"roasted green tea powder, low caffeine, toasty/nutty",8.00,https://temeculacoffeeroasters.com/pages/tea-dropship,placeholder,"Retail $19.99. Cert not visible."
RUNNERUP-MIZUBA-YOROKOBI-30G,Mizuba Tea Co.,matcha,ceremonial,30g,Japan,"Uji, Kyoto",Organic_JAS,N/A,"single-estate ceremonial, vibrant emerald, deep umami, no bitterness",18.00,https://mizubatea.com/products/yorokobi-ceremonial-organic-matcha,verified,"PROPOSED RUNNER-UP for matcha line. Retail $40 — JAS-certified organic single-estate. Mizuba is the cleaner cert path than Temecula's matcha. Wholesale est. ~45% retail."
RUNNERUP-RISHI-LOOSE-LEAF-LB,Rishi Tea & Botanicals,tea,loose-leaf-multi,1lb,Multi-origin,Various,Organic+Direct_Trade,N/A,"95%+ organic certified ingredients across the line",30.00,https://wholesale.rishi-tea.com/,inferred,"PROPOSED RUNNER-UP for tea line. Rishi is Direct Trade (their internal standard exceeds Fairtrade per their marketing) + 95%+ certified organic. Bulk wholesale via wholesale.rishi-tea.com. Owner to register for trade pricing."
RUNNERUP-NUMI-FT-ORGANIC-18CT,Numi Organic Tea,tea,sachets,18ct,Multi-origin,Various,Organic+Fairtrade,N/A,"USDA Organic + Fairtrade dual-cert across full line",4.50,https://numitea.com/pages/fair-trade,verified,"PROPOSED BACKUP for tea: Numi has dual Org+FT cert and is the cleanest sachet option if Coastal wants tea bags vs loose leaf. Wholesale est. ~50% retail at ~$8.99 retail."
